transcript_id,section,lemma,count,rank,category,group,long_cluster,pos_group,doc_count,total_count,top_subjects,top_objects,top_comps,top_obls,top_noun_roles,top_head_verbs,top_amod,top_compound,ChatGPT_suggested_category,Claude_suggested_category,Claude_notes
creativity_0000,basic_job_description,write,2,1.0,,Audiovisual,4,VERB,198.0,310.0,I:108 | AI:6 | it:4 | that:4 | they:3,story:15 | book:15 | novel:9 | it:8 | that:8,good:1 | allow:1 | amount:1 | wise:1 | use:1,they:5 | scratch:3 | about:3 | I:3 | something:2,,,,,DELEGATE,PRODUCE,
creativity_0000,basic_job_description,compose,1,2.0,,Audiovisual,4,,,,,,,,,,,,,,
creativity_0000,basic_job_description,depend,1,2.0,,Audiovisual,4,VERB,27.0,30.0,it:8 | that:1 | everything:1 | project:1 | detail:1,more:1,long:1,project:2 | model:1 | extent:1 | level:1 | we:1,,,,,UNCLEAR,STATE,
creativity_0000,basic_job_description,do,1,2.0,,Audiovisual,4,VERB,264.0,408.0,I:131 | it:23 | AI:13 | they:7 | that:6,that:23 | it:21 | this:20 | work:20 | thing:17,good:2 | quick:2 | honest:1 | pre-internet:1 | googl:1,I:7 | own:6 | project:4 | they:4 | AI:3,,,,,WORKFLOW,WORKFLOW,
creativity_0000,basic_job_description,mean,1,2.0,,Audiovisual,4,VERB,42.0,47.0,it:8 | this:6 | I:6 | which:5 | that:3,what:2 | lot:2 | XYZ:1 | output:1 | x:1,have:4 | create:3 | use:2 | receive:2 | write:1,grain:1 | use:1 | money:1 | visual:1 | example:1,,,,,DISCOURSE,RELATE,Polysemous: signify vs intend
creativity_0000,changed_aspects,actuate,1,1.0,,Audiovisual,4,,,,,,,,,,,,,,
creativity_0000,changed_aspects,call,1,1.0,,Audiovisual,4,VERB,12.0,14.0,mentor:1 | novel:1 | we:1 | editor:1 | I:1,it:4 | themselves:1 | artist:1 | I:1 | they:1,HueForge:1 | Thinglink:1 | Redacte:1 | redacte:1 | A:1,factor:1,,,,,UNCLEAR,COMMUNICATE,"Communication; also ""call X Y"" naming"
creativity_0000,changed_aspects,digg,1,1.0,,Audiovisual,4,,,,,,,,,,,,,,
creativity_0000,changed_aspects,do,1,1.0,,Audiovisual,4,VERB,264.0,408.0,I:131 | it:23 | AI:13 | they:7 | that:6,that:23 | it:21 | this:20 | work:20 | thing:17,good:2 | quick:2 | honest:1 | pre-internet:1 | googl:1,I:7 | own:6 | project:4 | they:4 | AI:3,,,,,WORKFLOW,WORKFLOW,
creativity_0000,changed_aspects,imagine,1,1.0,,Audiovisual,4,VERB,19.0,19.0,I:12 | you:1,content:1 | lot:1 | it:1 | how:1 | power:1,matter:1 | save:1 | board:1 | consider:1 | become:1,Christmas:1,,,,,UNCLEAR,COGNITION,
creativity_0000,changed_aspects,know,1,1.0,,Audiovisual,4,VERB,120.0,149.0,I:66 | you:11 | who:9 | it:7 | they:7,how:13 | what:12 | thing:4 | it:3 | anything:3,good:5 | say:4 | have:4 | be:3 | use:3,example:2 | I:1 | process:1 | AI:1 | word:1,,,,,WORKFLOW,COGNITION,
