transcript_id,section,lemma,count,rank,category
creativity_0000,basic_job_description,TV,1,1.0,
creativity_0000,basic_job_description,artwork,1,1.0,
creativity_0000,basic_job_description,composer,1,1.0,
creativity_0000,basic_job_description,design,1,1.0,
creativity_0000,basic_job_description,etc.,1,1.0,
creativity_0000,basic_job_description,film,1,1.0,
creativity_0000,basic_job_description,installation,1,1.0,
creativity_0000,basic_job_description,media,1,1.0,
creativity_0000,basic_job_description,music,1,1.0,
creativity_0000,basic_job_description,piece,1,1.0,
creativity_0000,basic_job_description,project,1,1.0,
creativity_0000,basic_job_description,recording,1,1.0,
creativity_0000,basic_job_description,scope,1,1.0,
creativity_0000,basic_job_description,skill,1,1.0,
creativity_0000,basic_job_description,sound,1,1.0,
creativity_0000,basic_job_description,standalone,1,1.0,
creativity_0000,basic_job_description,video,1,1.0,
creativity_0000,changed_aspects,bucket,1,1.0,
creativity_0000,changed_aspects,fill,1,1.0,
creativity_0000,changed_aspects,idea,1,1.0,
creativity_0000,changed_aspects,lot,1,1.0,
creativity_0000,changed_aspects,matter,1,1.0,
creativity_0000,changed_aspects,mentor,1,1.0,
creativity_0000,changed_aspects,time,1,1.0,
creativity_0000,changed_aspects,topic,1,1.0,
creativity_0000,changed_aspects,work,1,1.0,
creativity_0000,concerns,music,3,1.0,
creativity_0000,concerns,AI,2,2.0,
creativity_0000,concerns,platform,2,2.0,
creativity_0000,concerns,stream,2,2.0,
creativity_0000,concerns,VOD,1,3.0,
creativity_0000,concerns,composer,1,3.0,
creativity_0000,concerns,library,1,3.0,
creativity_0000,concerns,problem,1,3.0,
creativity_0000,concerns,production,1,3.0,
creativity_0000,concerns,publishing,1,3.0,
creativity_0000,concerns,saturation,1,3.0,
creativity_0000,concerns,tech,1,3.0,
creativity_0000,concerns,thing,1,3.0,
creativity_0000,dynamic,article,1,1.0,
creativity_0000,dynamic,composer,1,1.0,
creativity_0000,dynamic,connection,1,1.0,
creativity_0000,dynamic,perspective,1,1.0,
creativity_0000,future,aspect,1,1.0,
creativity_0000,future,idea,1,1.0,
creativity_0000,future,workflow,1,1.0,
creativity_0000,intro,question,1,1.0,
creativity_0000,project_example,AI,2,1.0,
creativity_0000,project_example,film,2,1.0,
creativity_0000,project_example,score,2,1.0,
creativity_0000,project_example,Johannsson,1,2.0,
creativity_0000,project_example,arrival,1,2.0,
creativity_0000,project_example,client,1,2.0,
creativity_0000,project_example,essay,1,2.0,
creativity_0000,project_example,project,1,2.0,
creativity_0000,project_example,thinking,1,2.0,
creativity_0000,walkthrough,brainstorming,2,1.0,
creativity_0000,walkthrough,:EQ,1,2.0,
creativity_0000,walkthrough,AI,1,2.0,
creativity_0000,walkthrough,Sonible,1,2.0,
creativity_0000,walkthrough,admin,1,2.0,
creativity_0000,walkthrough,block,1,2.0,
creativity_0000,walkthrough,business,1,2.0,
creativity_0000,walkthrough,comm,1,2.0,
creativity_0000,walkthrough,copywriting,1,2.0,
creativity_0000,walkthrough,email,1,2.0,
creativity_0000,walkthrough,iZotope,1,2.0,
creativity_0000,walkthrough,idea,1,2.0,
creativity_0000,walkthrough,ideation,1,2.0,
creativity_0000,walkthrough,learning,1,2.0,
creativity_0000,walkthrough,machine,1,2.0,
creativity_0000,walkthrough,ozone,1,2.0,
creativity_0000,walkthrough,peer,1,2.0,
creativity_0000,walkthrough,planning,1,2.0,
creativity_0000,walkthrough,plugin,1,2.0,
creativity_0000,walkthrough,process,1,2.0,
creativity_0000,walkthrough,question,1,2.0,
creativity_0000,walkthrough,technique,1,2.0,
creativity_0000,walkthrough,theory,1,2.0,
creativity_0000,walkthrough,tool,1,2.0,
creativity_0000,walkthrough,vision,1,2.0,
creativity_0001,basic_job_description,music,3,1.0,
creativity_0001,basic_job_description,mixing,2,2.0,
creativity_0001,basic_job_description,project,2,2.0,
creativity_0001,basic_job_description,access,1,3.0,
creativity_0001,basic_job_description,audio,1,3.0,
creativity_0001,basic_job_description,band,1,3.0,
creativity_0001,basic_job_description,client,1,3.0,
creativity_0001,basic_job_description,demo,1,3.0,
creativity_0001,basic_job_description,engineer,1,3.0,
creativity_0001,basic_job_description,guitar,1,3.0,
creativity_0001,basic_job_description,home,1,3.0,
creativity_0001,basic_job_description,move,1,3.0,
creativity_0001,basic_job_description,producer,1,3.0,
creativity_0001,basic_job_description,production,1,3.0,
creativity_0001,basic_job_description,record,1,3.0,
creativity_0001,basic_job_description,recording,1,3.0,
creativity_0001,basic_job_description,studio,1,3.0,
creativity_0001,changed_aspects,time,1,1.0,
creativity_0001,changed_aspects,way,1,1.0,
creativity_0001,concerns,AI,3,1.0,
creativity_0001,concerns,element,2,2.0,
creativity_0001,concerns,plugin,2,2.0,
creativity_0001,concerns,sort,2,2.0,
creativity_0001,concerns,task,2,2.0,
creativity_0001,concerns,-AI,1,3.0,
creativity_0001,concerns,Suno,1,3.0,
creativity_0001,concerns,art,1,3.0,
creativity_0001,concerns,beat,1,3.0,
creativity_0001,concerns,brainstorming,1,3.0,
creativity_0001,concerns,client,1,3.0,
creativity_0001,concerns,company,1,3.0,
creativity_0001,concerns,creativity,1,3.0,
